                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.7951,                   3.38,                 1.7663,                0.67181,                0.26308,                0.34415,                0.23876,                 1.4982,                 2.4798,                 1.5604,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                  1.672,                 3.3527,                 1.7256,                0.66798,                0.26141,                0.34747,                0.23988,                 1.4792,                 2.4273,                 1.5413,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                 1.8055,                 3.4518,                 1.7756,                0.60737,                0.29531,                0.34119,                0.23978,                 1.4706,                 2.4308,                 1.5452,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 1.7249,                 3.2456,                  1.711,                0.57116,                 0.3074,                0.35739,                0.24486,                 1.4687,                 2.4133,                 1.5433,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                 1.7367,                 3.3496,                 1.7364,                0.50586,                0.31829,                0.33757,                0.23175,                 1.4674,                 2.4251,                 1.5502,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 1.7978,                 3.3157,                 1.7569,                0.58375,                0.30887,                0.35613,                0.24076,                 1.4672,                 2.4332,                 1.5444,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                 1.6912,                 3.2532,                 1.7208,                0.58992,                0.29093,                0.35739,                0.24469,                 1.4546,                  2.356,                 1.5367,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                 1.7352,                 3.2111,                 1.7305,                0.66357,                 0.2643,                0.36242,                0.25119,                   1.44,                 2.3526,                 1.5164,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                 1.7038,                  3.342,                 1.7118,                0.46667,                0.34258,                0.36758,                0.25569,                 1.4403,                 2.3228,                 1.5101,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                 1.7454,                 3.3577,                 1.7479,                0.73664,                0.24773,                0.36877,                0.25814,                 1.4221,                 2.3061,                 1.5085,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                  1.711,                 3.2376,                 1.7325,                0.50995,                0.31006,                0.37653,                0.26498,                  1.412,                 2.2722,                 1.4957,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                 1.7327,                  3.323,                 1.7332,                0.57657,                0.30356,                0.37719,                0.26803,                 1.4067,                 2.2709,                 1.4946,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                  1.728,                 3.3312,                 1.7272,                0.65467,                0.27647,                0.38885,                0.27517,                 1.4098,                  2.255,                  1.496,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                 1.7821,                 3.3576,                 1.7752,                0.60407,                0.30481,                0.37914,                0.27005,                 1.4229,                 2.2852,                 1.5049,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                  1.645,                 3.1479,                 1.6728,                0.62803,                0.28895,                0.38288,                0.27082,                  1.419,                 2.2713,                 1.4962,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                  1.595,                 3.1464,                 1.6591,                 0.4675,                0.36255,                0.38557,                0.27474,                 1.4117,                 2.2857,                 1.4919,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                 1.6506,                 3.2529,                 1.6951,                0.41012,                0.38825,                0.38229,                 0.2715,                 1.4049,                 2.2633,                 1.4838,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                 1.6578,                 3.1597,                 1.6638,                0.75423,                0.26119,                0.39634,                0.28099,                 1.4108,                 2.2754,                 1.4909,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                 1.6836,                 3.1649,                 1.6709,                0.50831,                0.35781,                0.40007,                0.28738,                 1.3919,                 2.2417,                 1.4807,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 1.6603,                 3.2444,                 1.6839,                0.47309,                0.38242,                0.39152,                 0.2819,                 1.3924,                 2.2174,                 1.4754,             3.8889e-05,             3.8889e-05,             3.8889e-05
