                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5065,                 2.3785,                 1.4903,                0.69842,                0.44644,                0.52244,                0.37802,                 1.3155,                 1.8396,                 1.3851,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                 1.4705,                 2.3425,                 1.5018,                0.70622,                0.45344,                0.52753,                0.38514,                 1.3136,                 1.8198,                  1.381,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 1.5149,                 2.3136,                 1.5051,                0.68604,                0.45415,                0.52938,                0.39223,                 1.3012,                 1.7919,                 1.3733,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                 1.4408,                 2.2181,                 1.4614,                0.72205,                0.43532,                0.53769,                0.39789,                 1.2872,                 1.7507,                 1.3634,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 1.4472,                 2.2147,                 1.4803,                0.73258,                0.45329,                0.54527,                0.40186,                 1.2652,                 1.7181,                 1.3551,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                  1.479,                 2.2949,                 1.4831,                0.75054,                0.45252,                0.56422,                 0.4135,                 1.2549,                 1.6979,                 1.3512,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                 1.4136,                 2.2059,                 1.4345,                0.72553,                0.47275,                0.58027,                0.42717,                 1.2479,                 1.6786,                 1.3469,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                 1.4373,                 2.2208,                 1.4719,                0.73355,                0.48031,                0.58746,                0.43068,                 1.2398,                 1.6724,                 1.3418,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                 1.3634,                 2.1286,                 1.4115,                0.80027,                0.44836,                0.58977,                0.43461,                  1.229,                 1.6551,                 1.3359,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                  1.406,                 2.1343,                 1.4495,                0.79531,                0.45345,                0.59271,                0.43768,                 1.2239,                 1.6453,                 1.3324,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                 1.4182,                 2.1856,                 1.4333,                0.76362,                0.46017,                0.58758,                 0.4374,                 1.2242,                 1.6453,                 1.3302,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                 1.4469,                 2.1851,                  1.439,                0.76799,                0.46231,                0.58708,                0.43941,                 1.2156,                   1.62,                 1.3223,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                 1.4554,                 2.1567,                 1.4304,                0.75149,                0.46071,                0.59191,                0.44145,                 1.2037,                 1.6085,                 1.3151,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                 1.4648,                 2.0926,                 1.4313,                0.67737,                0.51174,                0.59724,                0.44576,                 1.1934,                  1.595,                  1.308,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                 1.4136,                 2.1739,                 1.4181,                0.74054,                0.48391,                0.59575,                0.44517,                 1.1874,                 1.5841,                 1.3029,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                 1.4376,                 2.0703,                 1.4325,                0.76916,                0.49668,                0.60217,                0.44981,                 1.1809,                 1.5754,                  1.297,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                 1.4234,                 2.1707,                 1.4477,                0.76364,                0.49732,                0.60578,                0.45125,                 1.1735,                 1.5708,                 1.2902,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                 1.3249,                 2.0473,                  1.386,                0.75842,                0.50392,                0.60905,                0.45321,                 1.1654,                 1.5504,                 1.2851,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                 1.4444,                 2.1445,                 1.4298,                 0.7702,                 0.5013,                 0.6105,                0.45242,                 1.1615,                 1.5351,                 1.2823,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                 1.3698,                 2.0382,                 1.4271,                0.74059,                0.50972,                 0.6138,                0.45495,                 1.1594,                 1.5271,                 1.2788,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                 1.3759,                 2.0004,                 1.4115,                0.71454,                 0.5183,                0.62023,                0.46353,                 1.1576,                 1.5179,                 1.2778,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                 1.3325,                 2.0571,                  1.394,                0.71882,                0.52598,                0.62827,                0.46689,                 1.1564,                 1.5057,                 1.2777,             4.2423e-05,             4.2423e-05,             4.2423e-05
